"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"6304","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","43.4600","202605","09","45,800","-","8","개인","개인","2023","효원로93번길 34","-","중개거래","경기 수원시 팔달구","-"
"6305","서울특별시 중랑구 신내동","654","0654","0000","진로아파트","101.8600","202605","09","88,500","-","11","개인","개인","1995","신내로17길 41","-","중개거래","서울 중랑구","-"
"6306","서울특별시 강북구 번동","234","0234","0000","주공4단지","76.5100","202605","09","60,000","-","14","개인","개인","1991","오현로 207","-","중개거래","서울 강북구","-"
"6307","경기도 성남시 중원구 중앙동","578","0578","0000","중앙동힐스테이트1차","84.9800","202605","09","105,500","-","6","개인","개인","2012","시민로66번길 21","-","중개거래","경기 성남시 중원구","-"
"6308","서울특별시 구로구 오류동","343","0343","0000","금강(343)","60.0540","202605","09","63,200","-","4","개인","개인","2003","오리로 1197","-","중개거래","서울 구로구","-"
"6309","서울특별시 노원구 상계동","740","0740","0000","상계주공2(고층)","32.3900","202605","09","36,100","-","13","개인","개인","1987","동일로215길 23","-","중개거래","서울 노원구","-"
"6310","경기도 화성시 동탄구 여울동","972","0972","0000","동탄역 반도유보라 아이비파크6.0","74.3629","202605","09","124,000","-","21","개인","개인","2017","동탄기흥로 479-12","-","중개거래","경기 화성시 동탄구","-"
"6311","서울특별시 노원구 중계동","359-1","0359","0001","주공5","58.4600","202605","09","77,000","-","7","개인","개인","1992","중계로 230","-","중개거래","서울 노원구","-"
"6312","경기도 화성시 동탄구 영천동","662","0662","0000","동탄역센트럴상록아파트","72.3500","202605","09","99,000","-","21","개인","개인","2017","동탄대로22길 9","-","중개거래","경기 화성시 동탄구","-"
"6313","경상남도 창원시 마산합포구 교방동","525","0525","0000","창원롯데캐슬프리미어","84.9485","202605","09","45,900","-","7","개인","개인","2020","노산서18길 80","-","직거래","-","-"
"6314","서울특별시 구로구 개봉동","170-30","0170","0030","신개봉삼환","59.8100","202605","09","55,500","-","1","개인","법인","2001","경인로38길 13","-","중개거래","서울 구로구","-"
"6315","경기도 화성시 동탄구 목동","489","0489","0000","동탄동원로얄듀크2차","84.9889","202605","09","63,800","-","5","개인","개인","2019","동탄순환대로19길 21","-","중개거래","경기 화성시 동탄구","-"
"6316","경기도 화성시 동탄구 청계동","512","0512","0000","동탄역 시범우남퍼스트빌아파트","84.9800","202605","09","140,000","-","10","개인","개인","2015","동탄대로시범길 276","-","중개거래","경기 화성시 동탄구","-"
"6317","서울특별시 구로구 개봉동","476","0476","0000","한마을","59.5700","202605","09","89,500","-","17","개인","개인","1999","경인로 382","-","중개거래","서울 구로구","-"
"6318","광주광역시 북구 우산동","835","0835","0000","무등산자이앤어울림1단지","114.9869","202605","09","80,000","-","6","개인","개인","2025","서양로 155","-","중개거래","광주 북구","-"
"6319","경기도 용인시 수지구 상현동","828","0828","0000","광교쌍용포레듀엔(2-B)","103.1937","202605","09","75,000","-","12","개인","개인","2001","상현로 30-6","-","중개거래","경기 용인시 수지구","-"
"6320","서울특별시 마포구 망원동","491","0491","0000","대상3","59.6100","202605","09","71,500","-","6","개인","개인","2000","월드컵로31길 103","-","중개거래","서울 마포구","-"
"6321","경기도 광명시 광명동","779","0779","0000","현진에버빌","84.2840","202605","09","80,000","-","9","개인","개인","2005","목감로 88","-","중개거래","경기 광명시","-"
"6322","경기도 화성시 동탄구 영천동","670","0670","0000","동탄역센트럴예미지","96.9959","202605","09","110,000","-","25","개인","개인","2017","동탄순환대로27길 45","-","중개거래","경기 화성시 동탄구","-"
"6323","경기도 화성시 동탄구 장지동","923","0923","0000","금호어울림레이크2차","74.9900","202605","09","64,500","-","14","개인","개인","2019","동탄대로1길 32","-","중개거래","경기 화성시 동탄구, 경기 화성시 병점구","-"
"6324","서울특별시 구로구 개봉동","476","0476","0000","한마을","59.5700","202605","09","85,000","-","18","개인","개인","1999","경인로 382","-","중개거래","서울 구로구","-"
"6325","서울특별시 송파구 송파동","245","0245","0000","송파파밀리에더퍼스트","70.0828","202605","09","179,000","-","4","개인","개인","2023","송이로4길 15","-","중개거래","서울 송파구","-"
"6326","서울특별시 중랑구 망우동","573","0573","0000","신원","84.1200","202605","09","55,000","-","13","개인","개인","1999","망우로 504-7","-","중개거래","서울 중랑구","-"
"6327","서울특별시 은평구 수색동","417","0417","0000","DMC롯데캐슬더퍼스트","59.9600","202605","09","117,000","-","15","개인","개인","2021","수색로 300","-","중개거래","서울 은평구","-"
"6328","전북특별자치도 전주시 덕진구 송천동1가","870","0870","0000","송천아이파크5단지","101.8963","202605","09","47,000","-","1","개인","개인","2009","오송로 45","-","중개거래","전북 전주시 덕진구","-"
"6329","경상북도 경산시 계양동","669","0669","0000","계양주공","39.7200","202605","09","7,000","206","2","개인","개인","1987","원효로32길 20","-","직거래","-","26.05.12"
